stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
"1151","FORIA - ORTO BOTANICO","40.8608445067583","14.2638139967854","0","",""
"1152","FORIA - CAVARA","40.8590474917363","14.2614407467778","0","",""
"1153","FORIA -CESARE ROSSAROLL","40.8579323864944","14.259913080607","0","",""
"1154","FORIA - CASERMA GARIBALDI","40.8570048943113","14.2587255370131","0","",""
"1155","FORIA - DUOMO","40.8561738531092","14.2575123114538","0","",""
"1156","FORIA - M2","40.8553728876272","14.2562339808877","0","",""
"1157","FORIA - CASERMA GARIBALDI","40.8570349930292","14.2590450902305","0","",""
"1158","FORIA - PONTENUOVO","40.8581888995143","14.2605805854249","0","",""
"1159","FORIA - TENORE","40.8599422783842","14.2628896106323","0","",""
"1160","ARENACCIA","40.8591885677727","14.2704440785213","0","",""
"1161","DELLE GALASSIE STAZIONAMENTO","40.8897161661343","14.2680849638201","0","",""
"1162","DELLE GALASSIE ","40.8899204951914","14.2697653479746","0","",""
"1163","DELLE GALASSIE ","40.890098918738","14.2694903653262","0","",""
"1164","GARIBALDI - VOLTURNO","40.85768559782","14.2671147262777","0","",""
"1165","GARIBALDI - CASANOVA","40.856209772296","14.2673564156955","0","",""
"1166","GARIBALDI - CARLO III","40.8614558679175","14.2664532028292","0","",""
"1167","GARIBALDI - S.MARIA DELLA FEDE","40.8575202749129","14.2673241799255","0","",""
"1168","GARIBALDI - PORZIO","40.859405439807","14.2669978838505","0","",""
"1169","GARIBALDI - CARLO III","40.860993482236","14.26669560985","0","",""
"1170","GARIBALDI - CIRCUMVESUVIANA","40.849178647945","14.2687536443193","0","",""
"1171","PRINCIPE UMBERTO","40.8538636264109","14.2682853276597","0","",""
"1172","GARIBALDI - CIRCUMVESUVIANA","40.848800137272","14.268728147726","0","",""
"1173","DELLE GALASSIE - LARGO COSTELLAZIONI","40.8899562823812","14.2675956293034","0","",""
"1174","GARIBALDI - PORZIO","40.8598630962277","14.2667199418074","0","",""
"1175","GARIBALDI - PRINCIPE UMBERTO","40.8540464215466","14.2678518444165","0","",""
"1176","GARIBALDI - UMBERTO I","40.8524620052142","14.2680889322884","0","",""
"1178","MACELLO","40.8636452465154","14.2946754814459","0","",""
"1179","DE MARCO","40.8691497079321","14.2638911218678","0","",""
"1180","GALILEO FERRARIS - MANIFATTURA TABACCHI","40.8480884005028","14.2947574231847","0","",""
"1181","CARLO III","40.8639568143148","14.2673422417681","0","",""
"1182","CARLO III","40.8636506293459","14.2673574818415","0","",""
"1183","UMBERTO - NOLANA","40.8503529125452","14.2661176844341","0","",""
"1184","BRIN","40.8475680602757","14.2821564465708","0","",""
"1185","BRIN ","40.8488523343075","14.2832159974433","0","",""
"1186","GALILEO FERRARIS - POSTE","40.8494166121048","14.2808129532784","0","",""
"1187","GARIBALDI - LUCCI ","40.8511813122425","14.271993995009","0","",""
"1188","FORIA -M1","40.8538046899789","14.2526330021379","0","",""
"1189","RIPOSO","40.8717773805867","14.2856484292361","0","",""
"1190","RIPOSO","40.872899210274","14.2864243673852","0","",""
"1191","GRIMALDI - PALAZZO DI GIUSTIZIA","40.8611597670522","14.2838421176062","0","",""
"1192","RIPOSO","40.874080375995","14.289810572245","0","",""
"1193","FONTANELLE","40.8590378741776","14.2421805128219","0","",""
"1194","COPPOLA","40.8570638897486","14.2923397483537","0","",""
"1195","RIPOSO","40.8744331427132","14.2932721672067","0","",""
"1196","PONTE DELLA MADDALENA - PROVVEDITORATO","40.8449204206807","14.2792128881879","0","",""
"1197","GARIBALDI - PRINCIPE UMBERTO","40.8540029732535","14.267764885813","0","",""
"1198","BRIGANTI","40.8718702504687","14.2744139152182","0","",""
"1199","BRIGANTI ","40.8720211406514","14.2740562503878","0","",""
"1201","LUCCI ","40.8497800725974","14.273978145569","0","",""
"1203","GUSSONE","40.8650612950525","14.2689141810942","0","",""
"1205","BRUNO GAETANO","40.8572598698443","14.2934499710788","0","",""
"1206","BRUNO GAETANO","40.8592941032596","14.2946534153311","0","",""
"1207","DAMAIANO","40.8599100071044","14.2929917008711","0","",""
"1208","MIRAGLIA - PARISE","40.8668470870616","14.2948383600096","0","",""
"1210","MADDALENA - S.MARIA DEL PIANTO","40.870111021746","14.2840868526679","0","",""
"1211","MADDALENA - AEROPOTO CIVILE","40.8731005047086","14.2809869154615","0","",""
"1212","MADDALENA - CUPA POZZELLE","40.8783143871858","14.2756431383287","0","",""
"1213","MADDALENA - AEROPORTO CIVILE","40.8733166887713","14.280984576586","0","",""
"1214","MADDALENA - DE GIAXA","40.8719484271757","14.2821597028434","0","",""
"1217","MADDALENA - AEROPORTO MILITARE","40.8750713035466","14.2792210264092","0","",""
"1218","PARISE","40.865997693171","14.2933543600228","0","",""
"1219","BRIN ","40.8490025580911","14.2830364314347","0","",""
"1220","DEL MACELLO","40.8636027706196","14.2943585231379","0","",""
"1222","MADDALENA - BRIGANTI","40.8761707279263","14.2778472493079","0","",""
"1223","LUCCI/STELLA POLARE","40.8473389303038","14.2769261179194","0","",""
"1224","GARIBALDI ","40.853561277012","14.2717911524088","0","",""
"1225","ALIBUS - GARIBALDI - ROSA PARKS","40.8530952857073","14.2715080708378","0","",""
"1226","COM.MADDALENA - TANGENZIALE","40.8704765824411","14.2839511798289","0","",""
"1227","DE ROBERTO","40.8643026955122","14.2976023452264","0","",""
"1228","SS.GIOVANNI E PAOLO - ZURLO","40.8671369277948","14.2680814731763","0","",""
"1229","MARINA - DUOMO","40.8457299243238","14.263179390013","0","",""
"1230","MARINA - TORRE ARAGONESE","40.8461591819027","14.2677785129053","0","",""
"1231","VIALE DELLA COSTITUZIONE - ISOLA G","40.8569295265081","14.2793672810104","0","",""
